,Station Name,mean_income,median_income,population,sex_ratio
80,SALT LAKE CITY / 250 E 500 S #2,"74,870","51,624","13,030",115.1
81,PUBLIC USE / 250 E 500 S,"74,870","51,624","13,030",115.1
82,SALT LAKE CITY / PUB SAFETY 01,"74,870","51,624","13,030",115.1
83,PUBLIC USE / 475 S 300 E,"74,870","51,624","13,030",115.1
84,PUBLIC USE / 475 S 300 E #2,"74,870","51,624","13,030",115.1
85,SALT LAKE CITY / PUB SAFETY 02,"74,870","51,624","13,030",115.1
86,PACKSIZE / CLEAN AIR 3,"72,686","59,136","26,761",102.6
87,PACKSIZE / CLEAN AIR 2,"72,686","59,136","26,761",102.6
88,PACKSIZE / CLEAN AIR 4,"72,686","59,136","26,761",102.6
89,PACKSIZE / CLEAN AIR 12,"72,686","59,136","26,761",102.6
90,PACKSIZE / CLEAN AIR 10,"72,686","59,136","26,761",102.6
91,TEST / CLEAN AIR 9,"72,686","59,136","26,761",102.6
92,PACKSIZE / CLEAN AIR 13,"72,686","59,136","26,761",102.6
93,PACKSIZE / CLEAN AIR 6,"72,686","59,136","26,761",102.6
94,PACKSIZE / CLEAN AIR 1,"72,686","59,136","26,761",102.6
95,PACKSIZE / CLEAN AIR 11,"72,686","59,136","26,761",102.6
96,PACKSIZE / CLEAN AIR 14,"72,686","59,136","26,761",102.6
97,PACKSIZE / CLEAN AIR 5,"72,686","59,136","26,761",102.6
98,PACKSIZE / CLEAN AIR 7,"72,686","59,136","26,761",102.6
99,PACKSIZE / CLEAN AIR 8,"72,686","59,136","26,761",102.6
100,PACKSIZE / CLEAN AIR 9,"72,686","59,136","26,761",102.6
101,SELECT - EVR / EVR L2 A,"84,905","60,169","24,949",106.9
102,FLEET BUILDING / PSB-FIRE,"74,870","51,624","13,030",115.1
103,FLEET BUILDING / PSB-FIRE 2,"74,870","51,624","13,030",115.1
104,FLEET BUILDING / LIBRARY SQUA P1,"74,870","51,624","13,030",115.1
105,FLEET BUILDING / SLC FACILITIES,"74,870","51,624","13,030",115.1
106,FLEET BUILDING / 159 S. MAIN ST,"74,870","51,624","13,030",115.1
107,FLEET BUILDING / SUGAR HOUSE,"114,283","90,381","35,166",100.0
108,FLEET BUILDING / 300 SOUTH,"74,870","51,624","13,030",115.1
109,FLEET BUILDING / LIBERTY PARK,"130,032","90,909","22,812",101.2
110,FLEET BUILDING / FAIRMONT PARK,"114,283","90,381","35,166",100.0
111,FLEET BUILDING / FOREST DALE GOL,"114,283","90,381","35,166",100.0
112,FLEET BUILDING / LIBERTY PARK 2,"130,032","90,909","22,812",101.2
113,FLEET BUILDING / FLEET,"72,686","59,136","26,761",102.6
114,FLEET BUILDING / LIBRA SQ GAR P2,"74,870","51,624","13,030",115.1
115,FLEET BUILDING / LIBRARY SQ P1,"74,870","51,624","13,030",115.1
116,FLEET BUILDING / INTL PEACE GARD,"72,686","59,136","26,761",102.6
117,FLEET BUILDING / SORENSON MULTIC,"72,686","59,136","26,761",102.6
118,FLEET BUILDING / PIONEER PARK,"98,624","64,405","5,202",148.4
119,FLEET BUILDING / LIBRARY POOL,"74,870","51,624","13,030",115.1
120,FLEET BUILDING / LIBER SQ GAR P2,"74,870","51,624","13,030",115.1
121,RMP NTO OFFICE / STATION 01,"80,410","67,968","34,588",113.6
