X,Y,name,amenity,shop,tourism,ele,cuisine,addr:housenumber,addr:street,addr:city,addr:postcode,religion,addr:state,leisure,denomination,website,opening_hours,operator,phone,brand,brand:wikidata,brand:wikipedia,historic,wheelchair,description,fee,man_made,capacity,name:en,outdoor_seating,wikidata,uuid,access,addr:unit,takeaway,smoking
-111.8009514,40.376545,AAMCO,,car_repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0057228,41.1778925,Aaron's,,department_store,,,,1090,West Riverdale Road,Riverdale,84405,,UT,,,,,,,,,,,,,,,,,,,,,,,
-113.588302,37.1096932,Aaron's,,electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9749875,41.0800624,Aaron's,,furniture,,,,,,,,,,,,,,,,Aaron's,Q10397787,"en:Aaron's, Inc.",,,,,,,,,,,,,,
-109.5555331,40.4457956,Aaron's,,furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.5093539,37.7048543,Abajo Haven,,,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.5106878,40.6318028,Abandoned Bonanza Mine,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.7509028,38.0551,Abbeys Tripple Arch,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9769517,41.2086016,Abby's Antiques,,antiques,,,,180,E 31st Street,,,,,,,,"Mo-Fr 10:00-18:00; Sa 10:00-17:00; Su 12:00-16:00",,8013949035,,,,,,,,,,,,,,,,,
-112.0256581,41.1684617,ABC Mandarin,restaurant,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8844183,40.7703528,ABC Market,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.5518515,40.7259312,Abercrombie & Fitch,,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9038545,40.7669668,Abercrombie & Fitch,,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5617468,37.0967157,About Face Salon & Day Spa,,beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9188461,40.7913628,A&B Quick Loans,,pawnbroker,,,,950,1000 North,Salt Lake City,84116,,UT,,,,,,,,,,,,,,,,,,,,,,,
-111.944333,40.6725015,Abraham Markosian Library,library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.8344007,39.4127296,Abraham Reservoir,,,viewpoint,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.5873834,39.3603802,Abundance,,interior_decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.911327,40.8496675,Abundant Life Assembly of God Church,place_of_worship,,,1308,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,
-111.8867579,40.763168,Abyss Body Piercing,,tattoo,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5713183,37.109606,Academy Auto,,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9876393,40.666524,Acapulco,restaurant,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.6583933,40.234874,Acaydia Spa & School Of Aesthetics,,cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.6601441,40.2570631,Accident Injury Chiropractic,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8846465,40.9227167,Ace,,hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.7866541,40.4293853,Ace Hardware,,doityourself,,,,5353,Parkway East Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.873484,40.759907,Ace Hardware,,doityourself,,,,612,,,,,,,,,"Mo-Sa 08:00-21:00, Su 10:00-18:00",,,,,,,,,,,,,,,,,,,
-111.8181923,39.1482451,Ace Hardware,,doityourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.2973712,37.1761043,Ace Hardware,,doityourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0852484,38.75202,Ace Hardware,,doityourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9505053,41.1842191,Ace Hardware,,doityourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.1629658,41.7110668,Ace Hardware,,doityourself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.2846502,40.6406511,Ace Hardware,,hardware,,,,192,West 200 South,Kamas,84036,,,,,http://www.acekamas.com/,"Mo-Sa 8:00-20:00; Su 09:00-18:00",,435.783.2331,,,,,,,,,,,,,,,,,
-111.666381,40.2521495,Ace Hardware,,hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9658531,40.3638856,Ace Hardware,,hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.7948299,40.6864064,Ace Hardware,,hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.3982597,41.9560311,Ace Hardware Garden City,,hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0447228,41.1945045,Ace Pizza,fast_food,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.5236178,38.5501916,Act campground,,,camp_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5064397,37.132089,Adair Spring Monument,,,,,,,,,,,,,,,,,,,,,monument,,,,,,,,,,,,,
-109.5200086,40.454088,Adams Body & Paint,,car_repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.0679101,37.6763111,Adams Theatre,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.7836111,38.2597222,Adamsville Cemetery,grave_yard,,,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.550099,40.7286629,Adidas,,sports,,,,,,,,,,,,,,,,Adidas,Q3895,en:Adidas,,,,,,,,,,,,,,
-109.5704368,38.5723566,Adobe Abode Bed & Breakfast,,,guest_house,,,778,Kane Creek Boulevard,Moab,84532,,,,,www.adobeabodemoab.com,,,435-259-7716,,,,,,,,,,,,,,,,,
-111.5000856,40.6638815,Adolph's,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5480614,37.1161246,Adrian's,,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5551664,37.1022736,Advance America Cash Advance,,money_lender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9805207,41.1903651,Advanced Auto Parts,,car_parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5703251,37.0876604,Advanced Hearing & Balance,hospital,,,,,617,Riverside Drive,St. George,84790,,UT,,,,,Advanced Hearing & Balance,,,,,,,,,,,,,,,,102,,
-111.9715133,41.2237807,Adventure Sports & Gear,,sports,,,,2348,Keisel Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.545737,37.1157757,Aeropostale,,clothes,,,,,,,,,,,,,,,,Aeropostale,Q794565,en:Aéropostale (clothing),,,,,,,,,,,,,,
-111.6806749,40.2749118,Aeropostale,,clothes,,,,,,,,,,,,,,,,Aeropostale,Q794565,en:Aéropostale (clothing),,,,,,,,,,,,,,
-111.8943225,40.5618234,Aeropostale,,clothes,,,,,,,,,,,,,,,,Aeropostale,Q794565,en:Aéropostale (clothing),,,,,,,,,,,,,,
-111.8849999,40.6349902,Aeropostale,,clothes,,,,,,,,,,,,,,,,Aeropostale,Q794565,en:Aéropostale (clothing),,,,,,,,,,,,,,
-111.3429366,37.5992801,Aetschi Baetschi Tower,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.824365,40.3870379,Afforable Dentures,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8914,40.7026469,Afghan Kitchen,restaurant,,,,afghan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8800746,40.7005533,African Discount Food Market,,supermarket,,,,3232,400 East,South Salt Lake,84115,,UT,,,https://www.facebook.com/Africandiscountmarket/,Mo-Sa 10:00-20:00,,(801) 467-3100,,,,,,Sells African & Caribbean foodstuffs.Also haircare.,,,,,,,,,,,
-111.8169664,40.7504818,African Elephants,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8154347,40.7500321,African Lion,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
